YES,NO,p,City
29,21,0.58,NEW CANADA Maine
340,284,0.544871795,NEW GLOUCESTER Maine
40,39,0.506329114,NEW LIMERICK Maine
57,72,0.441860465,NEW PORTLAND Maine
111,115,0.491150442,NEW SHARON Maine
77,108,0.416216216,NEW SWEDEN Maine
40,60,0.4,NEW VINEYARD Maine
112,93,0.546341463,NEWBURGH Maine
222,132,0.627118644,NEWCASTLE Maine
86,60,0.589041096,NEWFIELD Maine
226,129,0.636619718,NEWPORT Maine
55,28,0.662650602,NEWRY Maine
158,136,0.537414966,NOBLEBORO Maine
194,137,0.586102719,NORRIDGEWOCK Maine
360,226,0.614334471,NORTH BERWICK Maine
55,26,0.679012346,NORTH HAVEN Maine
376,219,0.631932773,NORTH YARMOUTH Maine
12,13,0.48,NORTHFIELD Maine
153,151,0.503289474,NORTHPORT Maine
360,204,0.638297872,NORWAY Maine
33,17,0.66,OAKFIELD Maine
508,381,0.571428571,OAKLAND Maine
276,113,0.709511568,OGUNQUIT Maine
1055,588,0.642118077,OLD ORCHARD BEACH Maine
662,475,0.582233949,OLD TOWN Maine
19,9,0.678571429,ORIENT Maine
351,337,0.510174419,ORLAND Maine
627,400,0.610516066,ORONO Maine
354,245,0.590984975,ORRINGTON Maine
7,15,0.318181818,OSBORN Maine
62,64,0.492063492,OTIS Maine
129,87,0.597222222,OTISFIELD Maine
146,121,0.546816479,OWLS HEAD Maine
6,6,0.5,OXBOW Maine
290,224,0.564202335,OXFORD Maine
100,78,0.561797753,PALERMO Maine
122,91,0.572769953,PALMYRA Maine
325,216,0.600739372,PARIS Maine
43,58,0.425742574,PARKMAN Maine
98,70,0.583333333,PARSONSFIELD Maine
31,28,0.525423729,PASSADUMKEAG Maine
68,54,0.557377049,PATTEN Maine
72,69,0.510638298,PEMBROKE Maine
132,131,0.501901141,PENOBSCOT Maine
23,14,0.621621622,PENOBSCOT NATION VOTING DISTRICT Maine
19,13,0.59375,PERHAM Maine
74,70,0.513888889,PERRY Maine
173,127,0.576666667,PERU Maine
79,92,0.461988304,PHILLIPS Maine
270,177,0.604026846,PHIPPSBURG Maine
292,135,0.683840749,PITTSFIELD Maine
210,124,0.628742515,PITTSTON Maine
18,14,0.5625,PLEASANT POINT Maine
12,9,0.571428571,PLEASANT RIDGE Maine
78,64,0.549295775,PLYMOUTH Maine
316,261,0.547660312,POLAND Maine
24,34,0.413793103,PORTAGE LAKE Maine
87,59,0.595890411,PORTER Maine
9629,5045,0.65619463,PORTLAND Maine
259,347,0.427392739,POWNAL Maine
3,3,0.5,PRENTISS Maine
572,524,0.52189781,PRESQUE ISLE Maine
70,68,0.507246377,PRINCETON Maine
55,60,0.47826087,PROSPECT Maine
215,103,0.676100629,RANDOLPH Maine
131,88,0.598173516,RANGELEY Maine
389,243,0.615506329,RAYMOND Maine
283,144,0.662763466,READFIELD Maine
6,11,0.352941176,REED Maine
296,157,0.653421634,RICHMOND Maine
36,39,0.48,RIPLEY Maine
36,40,0.473684211,ROBBINSTON Maine
589,568,0.509075194,ROCKLAND Maine
361,234,0.606722689,ROCKPORT Maine
32,37,0.463768116,ROCKWOOD STRIP Maine
74,51,0.592,ROME Maine
29,12,0.707317073,ROQUE BLUFFS Maine
48,29,0.623376623,ROXBURY Maine
572,328,0.635555556,RUMFORD Maine
421,380,0.525593009,SABATTUS Maine
2173,1849,0.540278468,SACO Maine
88,43,0.671755725,SAINT AGATHA Maine
104,128,0.448275862,SAINT ALBANS Maine
32,15,0.680851064,SAINT FRANCIS Maine
263,179,0.595022624,SAINT GEORGE Maine
27,17,0.613636364,SAINT JOHN Maine
24,9,0.727272727,SANDY RIVER Maine
2216,1573,0.584850884,SANFORD Maine
85,75,0.53125,SANGERVILLE Maine
2374,1572,0.601621896,SCARBOROUGH Maine
85,100,0.459459459,SEARSMONT Maine
180,168,0.517241379,SEARSPORT Maine
149,94,0.613168724,SEBAGO Maine
55,47,0.539215686,SEBEC Maine
13,8,0.619047619,SEBOEIS Maine
107,96,0.527093596,SEDGWICK Maine
108,109,0.497695853,SHAPLEIGH Maine
49,83,0.371212121,SHERMAN Maine
29,24,0.547169811,SHIRLEY Maine
304,230,0.56928839,SIDNEY Maine
495,331,0.599273608,SKOWHEGAN Maine
99,80,0.553072626,SMITHFIELD Maine
8,14,0.363636364,SMYRNA Maine
78,76,0.506493506,SOLON Maine
34,28,0.548387097,SOMERVILLE Maine
50,33,0.602409639,SORRENTO Maine
432,326,0.569920844,SOUTH BERWICK Maine
101,61,0.62345679,SOUTH BRISTOL Maine
5168,3331,0.608071538,SOUTH PORTLAND Maine
123,99,0.554054054,SOUTH THOMASTON Maine
106,57,0.650306748,SOUTHPORT Maine
208,147,0.585915493,SOUTHWEST HARBOR Maine
17,24,0.414634146,SPRINGFIELD Maine
27,23,0.54,STACYVILLE Maine
550,419,0.567595459,STANDISH Maine
48,43,0.527472527,STARKS Maine
91,81,0.529069767,STETSON Maine
59,60,0.495798319,STEUBEN Maine
56,38,0.595744681,STOCKHOLM Maine
187,147,0.55988024,STOCKTON SPRINGS Maine
14,14,0.5,STONEHAM Maine
89,51,0.635714286,STONINGTON Maine
19,22,0.463414634,STOW Maine
80,94,0.459770115,STRONG Maine
110,96,0.533980583,SULLIVAN Maine
93,93,0.5,SUMNER Maine
189,148,0.560830861,SURRY Maine
33,35,0.485294118,SWANS ISLAND Maine
81,89,0.476470588,SWANVILLE Maine
40,20,0.666666667,SWEDEN Maine
8,3,0.727272727,TALMADGE Maine
63,38,0.623762376,TEMPLE Maine
11,8,0.578947368,THE FORKS Maine
201,112,0.642172524,THOMASTON Maine
37,47,0.44047619,THORNDIKE Maine
12,22,0.352941176,TOPSFIELD Maine
894,463,0.65880619,TOPSHAM Maine
131,89,0.595454545,TREMONT Maine
117,105,0.527027027,TRENTON Maine
55,66,0.454545455,TROY Maine
383,304,0.557496361,TURNER Maine
179,158,0.53115727,UNION Maine
108,101,0.516746411,UNITY Maine
10,10,0.5,UPTON Maine
130,88,0.596330275,VAN BUREN Maine
18,17,0.514285714,VANCEBORO Maine
347,232,0.599309154,VASSALBORO Maine
195,110,0.639344262,VEAZIE Maine
47,49,0.489583333,VERONA ISLAND Maine
55,59,0.48245614,VIENNA Maine
124,57,0.685082873,VINALHAVEN Maine
18,15,0.545454545,WADE Maine
7,9,0.4375,WAITE Maine
48,37,0.564705882,WALDO Maine
479,338,0.58629131,WALDOBORO Maine
94,103,0.47715736,WALES Maine
35,26,0.573770492,WALLAGRASS Maine
23,38,0.37704918,WALTHAM Maine
192,194,0.497409326,WARREN Maine
98,69,0.586826347,WASHBURN Maine
141,87,0.618421053,WASHINGTON Maine
318,228,0.582417582,WATERBORO Maine
123,82,0.6,WATERFORD Maine
1062,459,0.698224852,WATERVILLE Maine
190,85,0.690909091,WAYNE Maine
3,4,0.428571429,WEBSTER Maine
57,38,0.6,WELD Maine
23,11,0.676470588,WELLINGTON Maine
1577,964,0.620621802,WELLS Maine
11,12,0.47826087,WESLEY Maine
248,196,0.558558559,WEST BATH Maine
8,10,0.444444444,WEST FORKS Maine
284,183,0.608137045,WEST GARDINER Maine
111,59,0.652941176,WEST PARIS Maine
2211,1308,0.628303495,WESTBROOK Maine
24,24,0.5,WESTFIELD Maine
8,11,0.421052632,WESTMANLAND Maine
14,28,0.333333333,WESTON Maine
112,65,0.632768362,WESTPORT ISLAND Maine
181,134,0.574603175,WHITEFIELD Maine
52,55,0.485981308,WHITING Maine
17,10,0.62962963,WHITNEYVILLE Maine
9,14,0.391304348,WILLIMANTIC Maine
306,288,0.515151515,WILTON Maine
1165,850,0.578163772,WINDHAM Maine
167,118,0.585964912,WINDSOR Maine
24,21,0.533333333,WINN Maine
596,346,0.632696391,WINSLOW Maine
57,47,0.548076923,WINTER HARBOR Maine
297,245,0.54797048,WINTERPORT Maine
20,20,0.5,WINTERVILLE Maine
649,351,0.649,WINTHROP Maine
507,378,0.572881356,WISCASSET Maine
66,78,0.458333333,WOODLAND Maine
91,75,0.548192771,WOODSTOCK Maine
5,14,0.263157895,WOODVILLE Maine
358,307,0.538345865,WOOLWICH Maine
922,552,0.62550882,YARMOUTH Maine
1982,1009,0.662654631,YORK Maine
