MUNICIPALITY,YES,NO,BLANK,YES.1,NO.1,BLANK.1,YES.2,NO.2,BLANK.2,YES.3,NO.3,BLANK.3,YES.4,NO.4,BLANK.4
SEBEC,55,47,1,40,62,1,62,40,1,50,53,0,56,46,1
SEBOEIS,13,8,0,12,9,0,15,6,0,9,12,0,11,10,0
SEDGWICK,107,96,1,132,71,1,150,52,2,114,88,2,142,62,0
SHAPLEIGH,108,109,2,98,121,0,139,79,1,89,129,1,121,97,1
SHERMAN,49,83,3,47,86,2,54,78,3,36,95,4,50,82,3
SHIRLEY,29,24,0,23,30,0,36,17,0,19,34,0,28,25,0
SIDNEY,304,230,3,298,238,1,361,172,4,250,284,3,320,214,3
SKOWHEGAN,495,331,7,452,370,11,567,257,9,404,423,6,494,332,7
SMITHFIELD,99,80,2,100,81,0,133,48,0,96,84,1,108,73,0
SMYRNA,8,14,0,7,15,0,8,14,0,5,17,0,8,14,0
SOLON,78,76,1,76,79,0,94,61,0,67,88,0,89,66,0
SOMERVILLE,34,28,6,27,35,6,33,29,6,27,37,4,29,33,6
SORRENTO,50,33,0,53,29,1,62,21,0,44,38,1,55,28,0
SOUTH BERWICK,432,326,12,495,271,4,583,185,2,413,354,3,541,227,2
SOUTH BRISTOL,101,61,0,107,55,0,130,31,1,112,48,2,118,44,0
SOUTH PORTLAND,5168,3331,332,5972,2643,216,6607,1944,280,5026,3517,288,6456,2197,178
SOUTH THOMASTON,123,99,2,137,86,1,164,58,2,122,99,3,141,82,1
SOUTHPORT,106,57,4,112,53,2,138,25,4,113,51,3,126,38,3
SOUTHWEST HARBOR,208,147,8,236,124,3,294,64,5,205,153,5,251,108,4
SPRINGFIELD,17,24,7,14,26,8,21,19,8,15,25,8,20,21,7
STACYVILLE,27,23,1,17,34,0,27,23,1,19,30,2,17,34,0
STANDISH,550,419,4,547,422,4,691,280,2,478,488,7,605,367,1
STARKS,48,43,0,49,42,0,55,35,1,42,49,0,48,43,0
STETSON,91,81,1,71,101,1,99,72,2,65,105,3,80,92,1
STEUBEN,59,60,2,74,46,1,88,32,1,55,64,2,74,46,1
STOCKHOLM,56,38,0,62,32,0,69,25,0,50,44,0,66,28,0
STOCKTON SPRINGS,187,147,2,178,157,1,240,95,1,170,164,2,210,126,0
STONEHAM,14,14,1,18,11,0,21,8,0,14,14,1,20,9,0
STONINGTON,89,51,3,103,40,0,128,15,0,94,47,2,111,32,0
STOW,19,22,0,19,22,0,28,13,0,18,22,1,24,17,0
STRONG,80,94,0,66,108,0,97,77,0,57,116,1,78,96,0
SULLIVAN,110,96,1,105,102,0,143,62,2,84,123,0,119,87,1
SUMNER,93,93,1,75,111,1,112,73,2,80,106,1,91,95,1
SURRY,189,148,4,209,127,5,256,82,3,201,136,4,231,108,2
SWANS ISLAND,33,35,2,36,32,2,53,17,0,36,33,1,42,27,1
SWANVILLE,81,89,3,65,105,3,101,70,2,66,103,4,73,98,2
SWEDEN,40,20,0,46,14,0,51,9,0,41,19,0,48,12,0
TALMADGE,8,3,0,5,6,0,8,3,0,3,8,0,5,6,0
TEMPLE,63,38,0,61,40,0,72,29,0,56,42,3,64,37,0
THE FORKS,11,8,0,12,7,0,13,6,0,10,9,0,11,8,0
THOMASTON,201,112,1,211,102,1,260,53,1,186,125,3,210,103,1
THORNDIKE,37,47,1,36,48,1,46,39,0,32,51,2,46,38,1
TOPSFIELD,12,22,0,7,27,0,17,17,0,4,30,0,13,21,0
TOPSHAM,894,463,19,919,441,16,1082,279,15,858,504,14,966,400,10
TREMONT,131,89,3,148,73,2,174,49,0,127,94,2,154,69,0
TRENTON,117,105,1,117,105,1,157,64,2,117,106,0,132,90,1
TROY,55,66,3,59,65,0,81,43,0,49,74,1,64,59,1
TURNER,383,304,4,383,304,4,460,228,3,329,356,6,417,270,4
UNION,179,158,4,179,160,2,233,106,2,154,183,4,196,143,2
UNITY,108,101,2,93,117,1,130,79,2,91,119,1,111,100,0
UPTON,10,10,0,10,10,0,12,8,0,8,12,0,8,12,0
VAN BUREN,130,88,5,158,62,3,172,51,0,103,115,5,155,63,5
VANCEBORO,18,17,0,18,17,0,21,14,0,12,23,0,20,15,0
VASSALBORO,347,232,4,331,251,1,418,164,1,304,273,6,363,217,3
VEAZIE,195,110,0,194,109,2,232,73,0,162,141,2,215,89,1
VERONA ISLAND,47,49,0,39,56,1,65,31,0,35,60,1,49,47,0
VIENNA,55,59,1,69,45,1,77,37,1,57,56,2,74,39,2
VINALHAVEN,124,57,2,136,45,2,159,23,1,131,51,1,134,47,2
WADE,18,15,0,20,13,0,19,14,0,14,19,0,21,12,0
WAITE,7,9,0,6,10,0,9,6,1,3,13,0,8,8,0
WALDO,48,37,1,39,47,0,56,30,0,34,52,0,47,38,1
WALDOBORO,479,338,12,463,360,6,586,236,7,435,383,11,492,333,4
WALES,94,103,0,77,120,0,111,85,1,72,124,1,90,107,0
WALLAGRASS,35,26,0,46,14,1,46,15,0,26,35,0,47,14,0
WALTHAM,23,38,0,20,41,0,35,26,0,19,42,0,26,34,1
WARREN,192,194,5,180,206,5,245,144,2,170,217,4,214,175,2
WASHBURN,98,69,0,87,79,1,120,46,1,64,103,0,96,71,0
WASHINGTON,141,87,1,137,91,1,164,64,1,125,101,3,139,86,4
WATERBORO,318,228,7,288,258,7,354,193,6,240,303,10,325,222,6
WATERFORD,123,82,3,129,78,1,152,55,1,110,97,1,146,61,1
WATERVILLE,1062,459,29,1100,429,21,1228,303,19,958,561,31,1168,361,21
WAYNE,190,85,3,196,81,1,218,58,2,188,87,3,211,64,3
WEBSTER,3,4,0,3,4,0,4,3,0,3,4,0,3,4,0
WELD,57,38,0,52,43,0,66,28,1,50,45,0,58,37,0
WELLINGTON,23,11,0,20,14,0,26,7,1,15,18,1,20,14,0
WELLS,1577,964,62,1705,863,35,1879,674,50,1435,1107,61,1837,737,29
WESLEY,11,12,0,6,17,0,9,14,0,6,17,0,6,17,0
WEST BATH,248,196,2,257,188,1,326,117,3,228,215,3,267,177,2
WEST FORKS,8,10,0,7,11,0,10,8,0,4,14,0,8,10,0
WEST GARDINER,284,183,2,244,223,2,307,158,4,212,253,4,267,200,2
WEST PARIS,111,59,1,103,64,4,126,43,2,82,86,3,105,65,1
WESTBROOK,2211,1308,80,2260,1266,73,2489,1036,74,1938,1566,95,2406,1139,54
WESTFIELD,24,24,0,26,22,0,32,15,1,21,26,1,32,16,0
WESTMANLAND,8,11,0,9,10,0,13,6,0,6,13,0,11,8,0
WESTON,14,28,0,14,28,0,19,22,1,9,33,0,14,28,0
WESTPORT ISLAND,112,65,0,114,63,0,135,42,0,119,58,0,116,61,0
WHITEFIELD,181,134,1,168,146,2,214,99,3,149,164,3,184,130,2
WHITING,52,55,1,50,57,1,69,39,0,37,71,0,57,51,0
WHITNEYVILLE,17,10,0,11,16,0,15,12,0,8,18,1,11,16,0
WILLIMANTIC,9,14,0,9,14,0,11,12,0,5,18,0,12,11,0
WILTON,306,288,3,303,293,1,379,216,2,262,332,3,328,268,1
WINDHAM,1165,850,41,1064,951,41,1341,677,38,947,1059,50,1237,792,27
WINDSOR,167,118,2,138,148,1,184,103,0,134,153,0,173,114,0
WINN,24,21,1,20,26,0,26,20,0,16,30,0,17,29,0
WINSLOW,596,346,12,557,381,16,673,272,9,521,416,17,629,312,13
WINTER HARBOR,57,47,1,59,45,1,79,24,2,46,57,2,65,40,0
WINTERPORT,297,245,0,257,284,1,340,201,1,238,301,3,301,241,0
WINTERVILLE,20,20,0,21,19,0,26,13,1,16,24,0,17,23,0
WINTHROP,649,351,7,633,365,9,771,227,9,571,424,12,695,308,4
WISCASSET,507,378,14,502,380,17,656,230,13,427,458,14,510,379,10
WOODLAND,66,78,1,75,68,2,89,56,0,44,100,1,78,66,1
WOODSTOCK,91,75,1,86,80,1,102,65,0,73,93,1,89,78,0
WOODVILLE,5,14,0,6,13,0,5,13,1,4,15,0,7,12,0
WOOLWICH,358,307,12,404,268,5,478,189,10,352,317,8,406,268,3
YARMOUTH,922,552,10,1048,431,5,1194,283,7,1013,453,18,1122,353,9
YORK,1982,1009,107,2192,828,78,2475,544,79,1956,1048,94,2267,766,65
