MUNICIPALITY,YES,NO,BLANK,YES.1,NO.1,BLANK.1,YES.2,NO.2,BLANK.2,YES.3,NO.3,BLANK.3,YES.4,NO.4,BLANK.4
DOVER-FOXCROFT,266,240,4,264,240,6,329,175,6,210,291,9,295,208,7
DRESDEN,163,119,3,156,127,2,191,93,1,148,136,1,164,119,2
DREW,3,1,0,3,1,0,3,1,0,1,3,0,4,0,0
DURHAM,524,765,11,517,773,10,757,531,12,425,866,9,567,725,8
DYER BROOK,19,23,1,14,28,1,26,17,0,10,32,1,16,27,0
EAGLE LAKE,57,39,0,66,30,0,69,25,2,44,52,0,67,29,0
EAST MACHIAS,122,109,5,110,124,2,141,93,2,71,161,4,106,127,3
EAST MILLINOCKET,271,206,13,255,226,9,330,147,13,195,279,16,273,203,14
EASTBROOK,30,39,1,28,42,0,38,31,1,24,46,0,34,36,0
EASTON,69,82,1,75,76,1,102,49,1,52,98,2,82,70,0
EASTPORT,264,180,8,279,169,4,369,78,5,236,208,8,296,149,7
EDDINGTON,191,170,2,161,202,0,203,158,2,137,223,3,188,174,1
EDGECOMB,98,92,1,122,69,0,135,56,0,103,87,1,123,67,1
EDINBURG,16,15,0,13,18,0,19,12,0,8,23,0,17,14,0
ELIOT,805,693,45,871,642,30,1078,441,24,721,786,36,930,592,21
ELLSWORTH,1077,996,68,1111,971,59,1374,708,59,982,1101,58,1205,884,52
EMBDEN,53,49,1,46,55,2,60,42,1,39,62,2,53,49,1
ENFIELD,98,88,0,90,96,0,110,76,0,71,115,0,106,80,0
ETNA,55,52,0,34,73,0,52,55,0,37,70,0,41,66,0
EUSTIS,48,37,0,47,38,0,60,23,2,45,40,0,47,38,0
EXETER,69,62,0,68,63,0,89,41,1,57,74,0,77,54,0
FAIRFIELD,464,339,8,448,352,11,558,245,8,374,427,10,512,295,4
FALMOUTH,1152,652,17,1293,517,11,1439,373,9,1200,606,15,1376,439,6
FARMINGDALE,249,190,3,266,172,4,310,125,7,228,208,6,285,153,4
FARMINGTON,438,358,6,487,309,6,595,201,6,440,355,7,517,283,2
FAYETTE,158,127,3,165,121,2,187,97,4,132,150,6,177,108,3
FORT FAIRFIELD,221,224,10,271,177,7,303,143,9,172,272,11,289,159,7
FORT KENT,287,181,5,380,90,3,374,94,5,225,243,5,358,112,3
FRANKFORT,63,67,0,56,74,0,75,55,0,46,84,0,58,72,0
FRANKLIN,107,101,4,104,104,4,134,73,5,78,132,2,122,89,1
FREEDOM,43,54,0,41,54,2,65,32,0,39,56,2,53,44,0
FREEPORT,1405,1217,71,1702,954,37,1956,697,40,1489,1146,58,1789,880,24
FRENCHBORO,10,3,0,12,1,0,12,1,0,11,1,1,11,2,0
FRENCHVILLE,87,39,1,89,38,0,108,19,0,72,54,1,93,34,0
FRIENDSHIP,107,73,2,101,79,2,134,45,3,103,77,2,112,69,1
FRYE ISLAND,12,11,0,17,6,0,15,5,3,13,10,0,17,6,0
FRYEBURG,221,222,3,233,212,1,282,160,4,182,259,5,238,207,1
GARDINER,494,265,15,475,282,17,553,206,15,422,337,15,498,267,9
GARFIELD,8,10,1,10,7,2,9,9,1,9,8,2,13,5,1
GARLAND,64,64,0,55,72,1,73,55,0,37,90,1,61,67,0
GEORGETOWN,181,93,3,195,81,1,215,62,0,186,91,0,207,69,1
GILEAD,10,13,0,13,9,1,17,5,1,6,16,1,12,10,1
GLENBURN,259,217,2,230,247,1,315,162,1,192,286,0,266,211,1
GLENWOOD,0,4,0,0,4,0,2,2,0,1,3,0,2,2,0
GORHAM,1440,1210,50,1587,1079,34,1838,820,42,1339,1311,50,1766,912,22
GOULDSBORO,173,159,3,184,148,3,247,86,2,150,183,2,204,129,2
GRAND ISLE,43,22,0,41,24,0,47,18,0,29,36,0,37,28,0
GRAND LAKE STREAM,30,15,0,33,12,0,32,13,0,26,19,0,34,11,0
GRAY,547,376,2,512,411,2,622,301,2,465,459,1,576,348,1
GREAT POND,9,6,0,4,10,1,10,5,0,6,9,0,8,7,0
GREENBUSH,49,68,1,36,82,0,66,51,1,35,81,2,48,70,0
GREENE,284,209,4,257,239,1,309,185,3,232,262,3,297,199,1
GREENVILLE,165,159,4,149,175,4,214,111,3,151,174,3,183,145,0
GREENWOOD,59,31,1,67,24,0,72,19,0,59,30,2,65,26,0
GUILFORD,84,75,1,75,85,0,109,50,1,67,92,1,84,75,1
HALLOWELL,558,277,15,633,205,12,668,165,17,535,301,14,636,201,13
HAMLIN,10,20,0,17,13,0,16,14,0,10,20,0,19,11,0
HAMMOND,6,10,0,5,11,0,6,10,0,2,14,0,7,9,0
HAMPDEN,820,705,16,826,697,18,1073,453,15,695,826,20,960,569,12
HANCOCK,367,316,22,372,319,14,467,224,14,320,372,13,411,285,9
HANOVER,33,27,0,34,26,0,44,16,0,34,26,0,37,23,0
HARMONY,43,70,0,51,62,0,52,60,1,40,73,0,52,61,0
HARPSWELL,777,356,22,869,278,8,946,197,12,844,300,11,866,280,9
HARRINGTON,65,48,2,57,57,1,84,31,0,48,65,2,57,57,1
HARRISON,174,143,5,173,145,4,213,105,4,158,160,4,193,128,1
HARTFORD,70,51,2,66,56,1,80,43,0,55,67,1,66,57,0
HARTLAND,114,117,1,82,149,1,124,107,1,81,150,1,103,128,1
HAYNESVILLE,9,11,0,11,9,0,10,10,0,7,13,0,8,12,0
HEBRON,83,72,1,82,73,1,108,47,1,75,81,0,102,53,1
HERMON,350,261,0,246,364,1,379,229,3,207,403,1,322,288,1
HERSEY,0,4,0,0,4,0,2,2,0,0,4,0,0,4,0
HIGHLAND,23,22,0,24,21,0,27,18,0,17,28,0,25,20,0
HIRAM,76,59,0,73,61,1,94,41,0,72,63,0,85,50,0
HODGDON,64,77,0,51,90,0,70,71,0,38,103,0,57,84,0
HOLDEN,303,241,3,274,265,8,372,173,2,245,298,4,329,216,2
HOLLIS,314,198,1,302,208,3,378,134,1,253,257,3,335,176,2
HOPE,129,111,0,148,91,1,172,68,0,131,109,0,152,86,2
HOULTON,508,400,13,518,389,14,605,301,15,364,541,16,557,357,7
HOWLAND,84,80,0,67,97,0,91,73,0,56,108,0,82,82,0
HUDSON,73,69,0,57,85,0,95,47,0,50,92,0,73,69,0
INDIAN TOWNSHIP,19,9,5,22,6,5,22,5,6,12,15,6,21,7,5
INDUSTRY,61,69,2,58,74,0,84,48,0,52,80,0,63,68,1
ISLAND FALLS,54,38,1,46,45,2,62,29,2,38,53,2,49,43,1
ISLE AU HAUT,18,5,1,19,5,0,22,2,0,19,5,0,22,2,0
ISLESBORO,101,72,1,113,60,1,133,38,3,114,60,0,121,52,1
JACKMAN,63,70,0,46,86,1,80,53,0,38,95,0,54,79,0
JACKSON,44,25,1,39,31,0,47,22,1,37,33,0,44,26,0
JAY,354,239,1,339,254,1,404,186,4,289,304,1,372,220,2
JEFFERSON,229,161,2,230,158,4,270,119,3,202,186,4,248,143,1
JONESBORO,44,35,3,53,28,1,54,28,0,42,40,0,52,30,0
JONESPORT,52,50,0,58,43,1,68,34,0,56,46,0,58,44,0
KENDUSKEAG,87,64,0,67,84,0,106,45,0,54,97,0,83,68,0
KENNEBUNK,1061,631,22,1184,510,20,1332,359,23,1083,612,19,1252,450,12
KENNEBUNKPORT,523,246,11,553,220,7,641,132,7,539,231,10,584,194,2
KINGFIELD,95,73,0,95,73,0,116,51,1,81,87,0,103,65,0
KINGMAN,4,0,0,2,2,0,4,0,0,0,4,0,2,2,0
KITTERY,1010,672,39,1168,517,36,1359,333,29,1038,637,46,1185,512,24
KNOX,41,48,0,40,49,0,47,42,0,33,56,0,45,44,0
LAGRANGE,39,48,0,27,59,1,45,40,2,21,65,1,38,49,0
LAKE VIEW,13,8,0,9,11,1,13,8,0,9,10,2,11,9,1
LAKEVILLE,11,16,0,14,13,0,22,5,0,8,19,0,11,16,0
LAMOINE,321,264,7,340,241,11,422,160,10,297,285,10,366,219,7
LEBANON,419,368,12,378,413,8,502,289,8,308,479,12,403,392,4
LEE,64,51,0,54,61,0,62,53,0,46,69,0,63,52,0
LEEDS,132,122,1,136,118,1,170,84,1,109,143,3,144,110,1
LEVANT,136,132,1,107,160,2,160,107,2,96,171,2,138,130,1
LEWISTON,3922,2639,270,4174,2401,256,4642,1915,274,3386,3166,279,4413,2225,193
LIBERTY,100,66,0,96,70,0,120,46,0,83,83,0,104,61,1
LIMERICK,193,148,6,204,139,4,223,119,5,164,180,3,211,132,4
LIMESTONE,134,111,2,138,107,2,171,72,4,94,150,3,152,94,1
LIMINGTON,191,140,4,157,173,5,204,127,4,140,192,3,177,153,5
LINCOLN,364,409,15,328,454,6,472,300,16,294,477,17,392,387,9
LINCOLNVILLE,192,160,6,221,134,3,259,99,0,194,162,2,233,124,1
LINNEUS,45,36,0,37,44,0,44,37,0,31,50,0,37,44,0
LISBON,855,835,19,820,881,8,1068,626,15,599,1094,16,874,829,6
LITCHFIELD,270,185,2,220,237,0,293,162,2,207,249,1,253,204,0
LITTLETON,50,59,2,43,65,3,59,51,1,27,82,2,51,60,0
LIVERMORE,202,151,1,172,181,1,207,145,2,154,200,0,190,164,0
LIVERMORE FALLS,287,220,16,269,239,15,345,161,17,218,291,14,272,237,14
LONG ISLAND,68,24,0,68,23,1,79,13,0,72,20,0,68,24,0
LOVELL,98,63,3,95,67,2,111,51,2,86,76,2,100,61,3
LOWELL,18,25,0,17,26,0,25,18,0,14,29,0,19,24,0
LUBEC,133,96,1,153,77,0,181,48,1,103,124,3,160,69,1
